sample,location,veg,lat,long,elevation,MAT,MAP,plantrich,planteven,P,OM,pH,sand,clay,silt,N,AMrich,AMeven,sporedensity
1,venezuela,forest,5.73028,-61.78306,1386.998496,20.5,185,20,0.952,3.650069549,12.64,3.46,37.5,36.6,25.9,5631.7,20,0.635,436.3540449
2,venezuela,forest,5.87694,-61.51667,1433.998656,20.5,185,16,0.931,7.840265555,13.52,3.05,58.56,14.56,26.88,11234,22,0.614,828.6412922
3,venezuela,shrubland,5.87694,-61.46306,1408.99896,20.5,185,16,0.932,0.518369503,4.18,3.62,78,8.28,13.72,1125.9,23,0.615,217.9679954
4,venezuela,shrubland,5.61111,-61.55722,1099.4136,20.5,185,8,0.948,0.13943696,10.61,4.09,86,7.28,6.72,589,22,0.648,89.21483171
5,venezuela,shrubland,5.56417,-61.36056,1231.998552,20.5,185,9,0.931,0.193406827,5.61,3.5,75.28,9.28,15.44,1214.3,17,0.687,340.6380384
6,venezuela,shrubland,5.40194,-61.40333,1126.001304,20.5,185,11,0.915,0.193406827,1.44,3.46,82.28,6.56,11.16,1304,19,0.705,638.6384491
7,venezuela,ag,4.93889,-61.23028,836.999088,20.5,185,4,0.829,1.949706164,2.47,3.92,43.3,38.2,18.5,2421.5,18,0.656,342.8257277
8,venezuela,forest,4.91694,-61.25000,976.999824,20.5,185,23,0.969,1.174251486,3.35,3.82,52,30.56,17.44,1930.3,18,0.661,438.6763792
9,venezuela,shrubland,4.89778,-61.24056,962.000616,20.5,185,8,0.913,0.954733311,9.65,4,72.64,14.56,12.8,541.4,14,0.676,99.80306663
10,venezuela,forest,5.07361,-61.28194,1149.001512,20.5,185,22,0.979,4.638046524,4.48,4.16,28.48888889,51.73333333,19.77777778,3441.8,21,0.658,421.825324
11,venezuela,shrubland,5.76333,-61.69556,1249.68,20.5,310,6,0.948,1.615997026,14.56,3.2,79.1,8.2,12.7,3410.3,22,0.626,1565.338718
12,venezuela,shrubland,5.86528,-61.76667,873.99876,20.5,310,13,0.961,1.1192878,13.32,3.14,84.1,11.6,4.3,2578.9,16,0.652,836.6334242
13,venezuela,forest,5.63750,-61.86028,1062.999144,20.5,310,19,0.966,2.173336034,10.92,4.32,52.05,36.6,11.35,4691.7,16,0.63,459.1822558
14,venezuela,shrubland,5.79333,-61.83944,1202.7408,20.5,310,11,0.926,2.510535876,12.18,3.26,84.44444444,10.31111111,5.244444444,1821.5,16,0.656,653.4935372
15,venezuela,forest,5.82528,-61.86833,1367.3328,16,300,15,0.935,4.814297087,20.76,3.35,52.85714286,33.25714286,13.88571429,7854.7,19,0.676,731.9786203
16,venezuela,shrubland,5.79611,-61.44417,1355.4456,20.5,185,8,0.953,0.247430963,1.12,4.53,84,9.28,6.72,743.8,20,0.584,475.9637204
17,venezuela,forest,5.74944,-61.53389,1271.6256,20.5,185,19,0.937,2.397900618,8.42,3.07,77.77777778,10.31111111,11.91111111,3116.8,27,0.655,610.8800584
18,venezuela,ag,5.66750,-61.47750,1099.4136,20.5,185,1,0,9.74118312,6.98,3.58,45,35.28,19.72,3501.9,16,0.575,1345.998737
19,venezuela,ag,5.66861,-61.46861,1099.4136,20.5,185,1,0,6.004312481,5.39,3.03,35.55555556,39.2,25.24444444,2856.5,21,0.513,923.3935073
20,venezuela,ag,5.82361,-61.89472,1137.5136,16,300,1,0,2.061404746,4.28,3.28,37.77777778,45.86666667,16.35555556,2115.4,19,0.613,444.0510003
21,venezuela,ag,5.82000,-61.89361,1137.5136,16,300,7,0.889,2.679932754,3.97,3.45,39.37777778,39.82222222,20.8,2187.2,13,0.676,550.4856397
22,venezuela,forest,5.80500,-61.88111,1137.5136,16,300,15,0.937,1.339480725,9.54,3.61,39.3,39.8,20.9,4022.6,21,0.654,586.7210105
23,venezuela,ag,5.62889,-61.86306,1212.1896,20.5,310,12,0.913,2.397900618,3.47,4.04,73.44,16.84,9.72,1336.7,20,0.531,439.5082043
24,venezuela,ag,5.63028,-61.85694,1212.1896,20.5,310,4,0.829,3.134286401,3.96,3.78,71.44,16.84,11.72,1298,19,0.58,593.0848426
25,venezuela,ag,5.99833,-61.57667,1312.164,20.5,185,5,0.81,9.870334621,6.92,3.74,57.44,23.84,18.72,2717.2,18,0.599,598.7801263
26,venezuela,ag,5.99639,-61.65917,1312.164,20.5,185,3,0.725,8.089868785,8.62,3.38,41.8,34.8,23.4,3973.7,21,0.626,1208.323865
27,venezuela,forest,5.99278,-61.59333,1328.3184,20.5,185,15,0.908,2.736517276,7.48,3.69,48.26666667,30.93333333,20.8,3271.6,28,0.617,959.8787064
28,unitedstates,shrubland,37.10694,-111.89881,1346.146152,14.16666667,21.59,5,0.912,4.755482633,0.17,7.51,83.44,9.84,6.72,318,6,0.417,191.7517092
29,unitedstates,shrubland,37.10551,-111.84502,1421.553672,14.16666667,21.59,9,0.939,4.112737627,0.19,7.44,69.44,15.84,14.72,313.3,13,0.644,94.157367
30,unitedstates,forest,37.26291,-111.90652,1464.140328,14.16666667,21.59,4,0.942,1.174251486,0.39,7.31,77.44,11.84,10.72,612.6,9,0.319,129.4897238
31,unitedstates,shrubland,37.12389,-111.97737,1462.7352,11.38888889,40.64,5,0.974,10.71747283,1.35,7.19,52.71111111,17.6,29.68888889,910.8,14,0.531,280.2079062
32,unitedstates,shrubland,37.18426,-111.98044,1601.4192,11.38888889,40.64,4,0.895,12.38511131,2.09,7.27,53.44,15.84,30.72,842.9,13,0.465,820.428879
33,unitedstates,shrubland,37.17721,-112.01310,1629.156,11.38888889,40.64,4,0.892,15.95655866,0.8,6.19,69.8,7.84,22.36,263,10,0.456,356.3344945
34,unitedstates,shrubland,37.14684,-112.06782,1657.1976,11.38888889,40.64,4,0.921,7.902557735,0.89,7.23,45.8,21.84,32.36,404.5,10,0.644,264.0426531
35,unitedstates,shrubland,37.09837,-112.13587,1676.4,11.38888889,40.64,2,1,13.2731811,1.42,7.3,18.16,33.84,48,761.2,11,0.572,312.5209307
36,unitedstates,shrubland,37.06109,-112.18954,1708.7088,11.38888889,40.64,5,0.849,6.609352643,1.89,7.2,14.16,17.84,68,880.3,8,0.452,326.3689847
37,unitedstates,shrubland,37.04034,-112.23971,1653.2352,11.38888889,40.64,4,0.832,10.3900678,2.21,7.15,26.72,7.84,65.44,1246.7,11,0.591,339.4005945
38,unitedstates,forest,37.44347,-112.13082,1981.2,5.833333333,40.64,9,0.953,1.727003261,0.26,7.47,75.28,11.84,12.88,393.2,6,0.599,19.85618042
39,unitedstates,forest,37.48298,-112.09763,1824.228,5.833333333,40.64,7,0.929,4.873175995,0.95,7.65,72.72,11.84,15.44,321.6,9,0.369,64.06465103
40,unitedstates,forest,37.85736,-111.35444,1743.1512,5.833333333,40.64,8,0.939,3.93876986,0.99,7.76,84.72,7.84,7.44,131.9,6,0.517,14.15453695
41,unitedstates,forest,37.84891,-111.31283,1728.8256,11.38888889,21.59,10,0.929,2.285500998,0.75,7.89,72.72,10.84,16.44,109.2,10,0.43,233.8882369
42,unitedstates,forest,37.86289,-111.31331,1703.2224,11.38888889,21.59,6,0.899,3.59251518,0.68,7.46,78,8.56,13.44,278.2,10,0.651,50.00683965
43,unitedstates,forest,37.86653,-111.31238,1702.0032,11.38888889,21.59,13,0.958,4.229029877,0.17,7.71,76.72,10.2,13.08,27.1,6,0.477,113.1057346
44,unitedstates,forest,37.79719,-111.41266,1634.0328,8.611111111,21.59,15,0.944,3.535022399,0.99,7.79,80.72,10.56,8.72,431,7,0.421,15.64679129
45,unitedstates,forest,37.77530,-111.42213,1599.2856,8.611111111,21.59,12,0.81,2.679932754,0.563832787,7.26,80.72,10.56,8.72,242.8,11,0.276,156.3143549
46,unitedstates,ag,35.87513,-110.60420,1710.8424,11.38888889,21.59,3,0.725,9.870334621,0.208618131,7.63,70.72,23.84,5.44,39.1,7,0.706,28.56399054
47,unitedstates,ag,35.88287,-110.57678,1733.7024,11.38888889,21.59,2,1,7.778045515,0.338299672,7.54,57.08,25.56,17.36,171.4,7,0.678,68.84709941
48,unitedstates,ag,35.88225,-110.57902,1730.6544,11.38888889,21.59,3,0.906,12.11478622,0.586386098,7.25,41.44,34.56,24,222.1,8,0.714,49.53833958
49,unitedstates,ag,35.86233,-110.62619,1719.6816,11.38888889,21.59,1,0,2.623407764,0.208618131,7.72,78.44,16.56,5,473.4,10,0.514,64.19073342
50,unitedstates,ag,35.86377,-110.61690,1705.6608,11.38888889,21.59,2,0.65,1.838239322,0.011276656,7.38,66.72,22.56,10.72,416.7,10,0.676,113.8927842
51,unitedstates,ag,35.86019,-110.61632,1702.9176,11.38888889,21.59,2,0.65,5.227810937,0.400321279,7.49,70.72,20.56,8.72,562.5,7,0.73,84.9240125
52,unitedstates,ag,35.86012,-110.61878,1703.2224,11.38888889,21.59,1,0,48.48622413,0.58074777,7.78,74.72,16.56,8.72,616,7,0.665,79.73444657
53,unitedstates,ag,35.85717,-110.62723,1709.6232,11.38888889,21.59,1,0,2.173336034,0.214256459,7.74,82.00,14.56,3.44,333.2,14,0.63,82.7612829
54,unitedstates,ag,35.85784,-110.62772,1709.6232,11.38888889,21.59,3,1,3.59251518,0.180426492,7.71,86.00,11.56,2.44,332.9,11,0.738,22.59522949
55,unitedstates,ag,35.86133,-110.62706,1721.2056,11.38888889,21.59,1,0,3.305664532,0.26500141,7.54,86.00,12.2,1.8,355,6,0.729,34.67590635
56,unitedstates,shrubland,35.85953,-110.61609,1702.0032,11.38888889,21.59,7,0.942,10.5862713,1.105112262,7.46,76.00,17.56,6.44,601.6,10,0.405,285.6449327
57,unitedstates,shrubland,35.88037,-110.60419,1714.8048,11.38888889,21.59,4,0.838,18.70477202,1.888839836,7.66,30.72,52.2,17.08,1299.8,13,0.598,318.5310857
58,unitedstates,shrubland,35.87652,-110.60293,1712.3664,11.38888889,21.59,6,0.915,4.403941584,0.191703148,7.55,82.72,14.2,3.08,230.6,6,0.716,29.29871579
59,unitedstates,shrubland,35.87688,-110.59171,1715.4144,11.38888889,21.59,6,0.951,5.584802274,0.53000282,7.45,68.72,19.2,12.08,445.1,10,0.678,212.3284162
60,unitedstates,shrubland,35.87673,-110.58838,1712.976,11.38888889,21.59,11,0.968,5.168542317,0.456704557,7.37,80.00,19.2,0.8,259.9,7,0.587,142.9909617